Clusters,Quality score,Unique
4.0,2.892482463201001,1.0
6.0,6.2802273784638585,1.0
8.0,3.215009934731523,5.0
10.0,2.935489588625173,3.0
12.0,3.147736474573729,1.0
14.0,2.910980509342859,4.0
16.0,2.580116799111793,8.0
18.0,2.837588355689607,9.0
20.0,3.0453576643824443,10.0
22.0,3.4074592858023585,11.0
24.0,3.9226913811236894,13.0
26.0,4.789629135873122,10.0
28.0,6.338153565090014,10.0
30.0,8.421163949605758,8.0
32.0,10.775016444058114,2.0
34.0,7.375232936855584,2.0
36.0,5.848451885562625,4.0
38.0,5.04993973355146,8.0
40.0,4.656806287960852,7.0
42.0,3.9844318873866893,12.0
44.0,3.811002586252975,15.0
46.0,3.72339873664279,14.0
48.0,3.2236321162889654,17.0
50.0,3.1147653944802545,15.0
52.0,2.958487379735434,20.0
54.0,3.1405071329797987,16.0
56.0,3.170349302716163,14.0
58.0,3.2355737096213133,14.0
60.0,3.2118957165280335,15.0
62.0,3.186641011061904,14.0
64.0,3.298575882210426,14.0
66.0,3.454288452366412,13.0
68.0,3.5437650715833966,13.0
70.0,3.7149212377014122,8.0
72.0,4.113832319099188,8.0
74.0,4.390379188003337,14.0
76.0,4.310307042907501,15.0
78.0,4.253818195205411,17.0
80.0,4.3936542684398106,13.0
82.0,4.426857014464213,14.0
84.0,4.251296656151435,14.0
86.0,4.324931889533826,14.0
88.0,4.52648068807264,11.0
90.0,4.644251218671812,10.0
92.0,4.834280541700799,10.0
94.0,5.007872236708666,10.0
96.0,5.216765440116088,5.0
98.0,5.116141480377317,4.0
100.0,4.919919000268431,6.0
102.0,4.832242649812011,5.0
104.0,4.753838251842618,7.0
106.0,4.646466670734893,9.0
108.0,4.487507927875533,6.0
110.0,4.498471909167315,8.0
112.0,4.333385516541817,9.0
114.0,4.227683097348718,7.0
116.0,4.239648784416296,9.0
118.0,4.249978136831415,7.0
120.0,4.1691904806122215,8.0
122.0,4.107180198277174,10.0
124.0,3.9289675438798595,9.0
126.0,4.098068865714419,10.0
128.0,4.022677420724744,10.0
130.0,4.174945554951968,13.0
132.0,5.392338976561208,12.0
134.0,5.685806895868323,11.0
136.0,6.675519001260465,10.0
138.0,6.544517953808086,10.0
140.0,7.038339011755616,10.0
142.0,6.30573314777815,7.0
144.0,7.418062703345528,11.0
146.0,6.509723482797387,8.0
148.0,4.773182115549587,10.0
150.0,7.05941912073081,9.0
152.0,4.678543496257623,9.0
154.0,4.267528511668845,10.0
156.0,11.726265047572452,9.0
158.0,15.262836556603308,9.0
160.0,13.704570936345707,10.0
162.0,18.72565003739398,8.0
164.0,20.567631061758803,8.0
166.0,17.646120156841107,6.0
168.0,17.50050389686715,7.0
170.0,18.83341786241983,9.0
172.0,20.18100818505127,7.0
174.0,20.395390978804983,7.0
176.0,19.0808466201734,10.0
178.0,19.622215652713045,8.0
180.0,21.095987705429536,9.0
182.0,22.340806047993187,6.0
184.0,24.047279096369742,7.0
186.0,23.789873729582574,10.0
188.0,26.869694120164556,7.0
190.0,26.582425096528183,8.0
192.0,28.41004175322766,7.0
194.0,30.517590051143245,5.0
196.0,30.05933270266658,7.0
198.0,29.53958848541052,7.0
