Clusters,Quality score,Unique
4.0,2.954018329169293,1.0
6.0,4.634204848578082,2.0
8.0,3.0649932888184486,5.0
10.0,3.2733975747875697,6.0
12.0,4.075656385513216,1.0
14.0,3.0954371391308806,7.0
16.0,2.5854301931861303,5.0
18.0,2.8863326121693698,6.0
20.0,2.7272283097571055,7.0
22.0,2.654752243020178,5.0
24.0,2.7932094706334882,5.0
26.0,2.8252583001964435,7.0
28.0,3.1714696940531084,9.0
30.0,4.156687285080648,8.0
32.0,4.482910657079071,4.0
34.0,3.717661234231832,7.0
36.0,2.9999189540728315,7.0
38.0,3.038047436409464,9.0
40.0,3.086348910195663,8.0
42.0,3.3124917911274894,1.0
44.0,2.947616237786732,6.0
46.0,2.7767024621338408,7.0
48.0,2.678219417117199,12.0
50.0,2.6971197360111434,12.0
52.0,3.0526432911150745,13.0
54.0,3.1221683444326933,14.0
56.0,3.07889868539168,14.0
58.0,3.08903597086896,16.0
60.0,2.978545581332382,17.0
62.0,3.2468192859519016,9.0
64.0,3.0162361028763645,15.0
66.0,3.0638022186869964,14.0
68.0,3.230314903219063,12.0
70.0,3.5928544508421085,12.0
72.0,3.640822932349813,13.0
74.0,3.718983743668839,14.0
76.0,3.7980238779363207,14.0
78.0,3.5494574993263712,15.0
80.0,3.5149441529183028,14.0
82.0,3.797276279310048,13.0
84.0,3.837994327816511,15.0
86.0,4.154100549217079,14.0
88.0,4.136066540698931,13.0
90.0,3.9136818433486678,14.0
92.0,4.491870864323566,13.0
94.0,4.635313850156654,13.0
96.0,5.0101092085644225,14.0
98.0,5.187606034941492,12.0
100.0,5.611652932876817,12.0
102.0,5.698762318972596,14.0
104.0,6.31432495464605,12.0
106.0,7.0331991807698975,12.0
108.0,7.523659903616728,11.0
110.0,8.435501489080444,12.0
112.0,9.77682005987312,9.0
114.0,11.014350633493525,9.0
116.0,12.755646701747764,5.0
118.0,14.50719208784428,7.0
120.0,16.416726326055187,1.0
122.0,14.453327497479975,2.0
124.0,13.131852175638835,1.0
126.0,12.098721682141674,1.0
128.0,11.223414201809334,7.0
130.0,10.536827725048756,6.0
132.0,9.818274463999366,8.0
134.0,9.33410430084999,10.0
136.0,8.683057613922971,11.0
138.0,8.414628480110999,11.0
140.0,8.09632510998241,12.0
142.0,7.895580957139828,9.0
144.0,7.73994855015513,11.0
146.0,7.559522772064783,10.0
148.0,7.4986141021996255,14.0
150.0,7.407542405458181,13.0
152.0,7.381690590768244,13.0
154.0,7.132309503622367,13.0
156.0,7.014785405460779,13.0
158.0,7.131414838219804,13.0
160.0,6.864372034297084,13.0
162.0,6.708597644483363,12.0
164.0,6.570079935620212,11.0
166.0,6.3317565126949304,12.0
168.0,5.861831415250004,12.0
170.0,5.942044898703138,11.0
172.0,5.208957308139614,12.0
174.0,5.287373767895774,13.0
176.0,5.578478329416328,12.0
178.0,6.285784155611717,12.0
180.0,7.104549687492462,10.0
182.0,6.814595859237047,11.0
184.0,7.668724982742232,10.0
186.0,7.355433496530766,10.0
188.0,7.199294800996886,10.0
190.0,7.19757657453623,13.0
192.0,7.232431161322971,13.0
194.0,7.144748924235547,9.0
196.0,6.888460983850431,8.0
198.0,6.675456162714248,13.0
