Clusters,Quality score,Unique
4.0,2.9105019341001204,2.0
6.0,6.268858225840548,2.0
8.0,3.4207686626813043,4.0
10.0,4.4031294986361855,6.0
12.0,8.413536399900046,1.0
14.0,4.134922949682282,7.0
16.0,2.8037315587018448,9.0
18.0,2.946038972465742,9.0
20.0,3.089822065964329,8.0
22.0,3.201240604727965,10.0
24.0,3.267718437736281,11.0
26.0,3.4395887664264144,6.0
28.0,3.6864577761175297,7.0
30.0,3.9508012186519137,5.0
32.0,4.009251568814795,6.0
34.0,4.03763234006186,8.0
36.0,4.245660318034188,6.0
38.0,3.918274494104159,8.0
40.0,3.744866632013756,10.0
42.0,3.581580065152373,10.0
44.0,3.37379785202703,10.0
46.0,3.4322732007816072,10.0
48.0,3.3432806147413494,11.0
50.0,3.306551571226521,9.0
52.0,3.219967837893792,10.0
54.0,3.179566354242362,10.0
56.0,3.7309518414656346,10.0
58.0,4.118142108183289,9.0
60.0,4.881819154801985,4.0
62.0,4.574186957446035,5.0
64.0,4.610765074343119,8.0
66.0,4.399728962910708,9.0
68.0,4.240981823758181,11.0
70.0,4.623838796004921,12.0
72.0,4.539546625861617,8.0
74.0,5.108750505546897,14.0
76.0,5.096008124829503,13.0
78.0,5.719045933418576,14.0
80.0,6.471861869381587,13.0
82.0,7.0406800715677935,12.0
84.0,7.7699331390541655,10.0
86.0,8.859049856967786,4.0
88.0,9.877049736905548,6.0
90.0,10.757282262077648,1.0
92.0,9.993044243119474,3.0
94.0,9.06764761218841,5.0
96.0,8.488263947370775,7.0
98.0,8.023082296194213,7.0
100.0,7.622136028202572,8.0
102.0,7.2618366147189235,11.0
104.0,6.975089311206377,7.0
106.0,6.661615029451863,7.0
108.0,6.6177580703531165,7.0
110.0,6.408789055457838,5.0
112.0,6.1273092732683185,5.0
114.0,5.84659031994499,4.0
116.0,5.427664837661554,6.0
118.0,5.043076966854276,4.0
120.0,4.740786478955256,6.0
122.0,4.6027371215841715,9.0
124.0,4.391963009007133,6.0
126.0,4.191063718566555,15.0
128.0,3.983074708287732,11.0
130.0,3.8797097407929684,13.0
132.0,3.674218527530975,16.0
134.0,3.546994653989821,14.0
136.0,3.4551867026119565,15.0
138.0,3.28913456293588,19.0
140.0,3.2308291464486922,16.0
142.0,3.1293747943241788,17.0
144.0,3.0241798639766806,17.0
146.0,3.0701630669707676,17.0
148.0,2.9269988737333623,18.0
150.0,2.8708647204983295,18.0
152.0,2.854243930992483,19.0
154.0,2.805050220185649,17.0
156.0,2.795413042434604,19.0
158.0,2.768194198031291,19.0
160.0,2.8431550625075683,20.0
162.0,2.856779872239032,19.0
164.0,2.9394389847726075,18.0
166.0,2.9204581762243484,17.0
168.0,2.937093590224139,20.0
170.0,2.9810801384946117,19.0
172.0,2.9959844978411363,15.0
174.0,3.0120802540914355,17.0
176.0,2.9627265793100985,15.0
178.0,2.933835075693942,18.0
180.0,2.8970666231135596,15.0
182.0,2.882661790399185,13.0
184.0,2.834209556160115,15.0
186.0,2.825911886086069,15.0
188.0,2.7713662540876998,20.0
190.0,2.715535759686983,21.0
192.0,2.7359585586977686,20.0
194.0,2.678636852871575,19.0
196.0,2.702204554757739,20.0
198.0,2.713100802123048,21.0
