Clusters,Quality score,Unique
6.0,3.6533114415037238,3.0
8.0,3.1368679103280592,3.0
10.0,3.5100887119175086,5.0
12.0,5.897941297982775,1.0
14.0,3.4370406042766097,6.0
16.0,2.666786222253145,8.0
18.0,2.834530505784717,8.0
20.0,2.911508402382653,5.0
22.0,2.714649018494498,6.0
24.0,2.6857246939238184,5.0
26.0,2.6986037890954417,7.0
28.0,2.691726492305785,5.0
30.0,3.0635506506241894,5.0
32.0,3.056703803923263,7.0
34.0,2.7554429859326683,6.0
36.0,2.490274097478659,6.0
38.0,2.634407246670208,7.0
40.0,2.5951511351991154,7.0
42.0,2.601204247619558,7.0
44.0,2.721604653110331,9.0
46.0,2.741933622389098,8.0
48.0,2.6334415006702896,7.0
50.0,2.6520497511650496,9.0
52.0,2.6617641794766533,8.0
54.0,2.8500829159652827,9.0
56.0,2.9100752323236483,9.0
58.0,3.066300539842416,11.0
60.0,3.1590143498271264,10.0
62.0,3.3974953998009,10.0
64.0,3.67861385816242,9.0
66.0,4.089352387190617,10.0
68.0,4.6520631254428055,11.0
70.0,5.238463436396188,9.0
72.0,5.787427063408013,2.0
74.0,5.435393850500757,2.0
76.0,5.107147566146983,4.0
78.0,4.757315427876385,5.0
80.0,4.433535012923101,4.0
82.0,3.973996495323533,9.0
84.0,3.8605047153550673,13.0
86.0,3.5155217448474385,11.0
88.0,3.206435073262882,11.0
90.0,3.1731458248120212,13.0
92.0,3.024853303635691,14.0
94.0,3.0484031697001677,11.0
96.0,2.9041051286048525,15.0
98.0,2.8664919551761443,15.0
100.0,2.7508371873645534,12.0
102.0,2.7851303825015075,12.0
104.0,2.7617353664945528,14.0
106.0,2.735327152218085,14.0
108.0,2.735742459119642,11.0
110.0,2.6825243131363923,13.0
112.0,2.6658782210771563,12.0
114.0,2.62209339879127,13.0
116.0,2.701734033914267,13.0
118.0,2.6621041044233955,13.0
120.0,2.6286286379892116,12.0
122.0,2.6799402518718414,12.0
124.0,2.6320264569378873,12.0
126.0,2.657341711334542,13.0
128.0,2.6351286652181356,12.0
130.0,2.683143402093086,13.0
132.0,2.693233706742525,14.0
134.0,2.7160529490151384,14.0
136.0,2.774114470094588,12.0
138.0,2.723715428688785,15.0
140.0,2.7281408655193884,15.0
142.0,2.6939901606121337,16.0
144.0,2.649047471414229,14.0
146.0,2.727946454321291,16.0
148.0,2.8176075096164555,14.0
150.0,2.806841842542047,14.0
152.0,2.832604273697681,15.0
154.0,2.7850779597607254,15.0
156.0,2.8274451054573513,15.0
158.0,2.82727889770901,15.0
160.0,2.9237342657346703,14.0
162.0,2.988827658200411,13.0
164.0,2.981101195452354,13.0
166.0,2.948549093233213,13.0
168.0,3.066690946752465,11.0
170.0,3.084934957079169,12.0
172.0,3.092988891905508,11.0
174.0,3.12887308114494,11.0
176.0,3.069204447065674,10.0
178.0,3.147204928289159,12.0
