Clusters,Quality score,Unique
6.0,4.7457435560440935,3.0
8.0,3.357146560825554,5.0
10.0,4.031735025375312,6.0
12.0,7.620176250834422,1.0
14.0,4.015967975116157,6.0
16.0,2.875386559935831,8.0
18.0,3.1928637391480112,7.0
20.0,2.8781327834546344,10.0
22.0,2.780096246163352,10.0
24.0,2.8662629778814304,8.0
26.0,2.878264830433986,8.0
28.0,2.799560607217007,7.0
30.0,3.038135041793529,7.0
32.0,3.035254096597871,5.0
34.0,3.004600001331884,9.0
36.0,2.9757234905889103,8.0
38.0,3.1831916821580393,8.0
40.0,3.257806323523638,8.0
42.0,3.4799552626240757,8.0
44.0,3.374488591183743,9.0
46.0,3.305440343281867,8.0
48.0,3.2502198632731973,10.0
50.0,3.4047593894737007,11.0
52.0,3.4682096977709334,9.0
54.0,3.270247642294446,12.0
56.0,3.152102591992161,10.0
58.0,3.4522687331860054,11.0
60.0,3.6885671172187813,9.0
62.0,4.125297541434136,7.0
64.0,4.358751145093915,5.0
66.0,4.158463336481523,9.0
68.0,3.932271842000353,11.0
70.0,3.8128536447310184,11.0
72.0,3.7098439047295084,6.0
74.0,3.5151742166430564,8.0
76.0,3.3777185465579294,13.0
78.0,3.2955273548516395,9.0
80.0,3.24738170908853,11.0
82.0,3.1549354013959308,14.0
84.0,3.192486295183869,11.0
86.0,3.115061738792998,11.0
88.0,3.2379332240807335,10.0
90.0,3.2245202541356575,11.0
92.0,3.214203912149617,11.0
94.0,3.21393229649322,13.0
96.0,3.283949945292491,13.0
98.0,3.3772108093684543,13.0
100.0,3.4516095171196417,13.0
102.0,3.4987460306179043,13.0
104.0,3.504766377035764,13.0
106.0,3.4572615552279213,12.0
108.0,3.55422983999991,13.0
110.0,3.5060497755044207,15.0
112.0,3.4313972991935664,15.0
114.0,3.5447854056845163,14.0
116.0,3.481921373112155,15.0
118.0,3.6349662635648254,8.0
120.0,3.7214819530513434,9.0
122.0,3.5365174361034453,12.0
124.0,3.4191742086644163,13.0
126.0,3.387557297188195,14.0
128.0,3.4046801436521954,13.0
130.0,3.4180311462083792,13.0
132.0,3.4556068853679722,12.0
134.0,3.351618328580091,14.0
136.0,3.2352884100397343,16.0
138.0,3.210128421021021,14.0
140.0,3.191171415834826,16.0
142.0,3.176463438614717,19.0
144.0,3.1179859755078576,20.0
146.0,3.129515028225028,23.0
148.0,3.1193842290236065,22.0
150.0,3.077083969273141,21.0
152.0,3.080653475740087,22.0
154.0,3.1528616366683577,24.0
156.0,3.188302393594709,20.0
158.0,3.207853817741288,23.0
160.0,3.2387714640076557,24.0
162.0,3.2577620021928575,23.0
164.0,3.0858244463554128,26.0
166.0,3.1701599080025034,24.0
168.0,3.170820245539868,25.0
170.0,3.2791223138452983,24.0
172.0,3.341165618955956,21.0
174.0,3.480877391765259,20.0
176.0,3.4695232298196723,18.0
178.0,3.6104695170681627,16.0
180.0,3.6359387614375436,12.0
182.0,3.659983475983437,13.0
184.0,3.683309351597548,17.0
186.0,3.627238365376539,17.0
188.0,3.7129448565238783,16.0
190.0,3.7719550201346546,15.0
192.0,3.8487552143812866,15.0
194.0,3.7918435744838836,16.0
196.0,3.8618213307049194,17.0
198.0,3.88792662658887,17.0
