Modes,CC
2.0,-0.007800786532602692
3.0,-0.015572869905952448
4.0,-0.22234837026971255
5.0,-0.029215345978534844
6.0,-0.04514827805764402
7.0,-0.07328095077013956
8.0,-0.04528734357360061
9.0,-0.20368245519347544
10.0,-0.19676146948444756
11.0,-0.10506583507399637
12.0,-0.10047447454729808
13.0,-0.10902535096007336
14.0,-0.12858969238633064
15.0,-0.19836545293549107
16.0,-0.14634678955752306
17.0,-0.15080632627386184
18.0,-0.19584735032941383
19.0,-0.15399494124988145
20.0,-0.15016383351021254
21.0,-0.15889229955343018
22.0,-0.19516196529206195
23.0,-0.177822355164036
24.0,-0.17863577178912138
25.0,-0.19364224711982045
26.0,-0.1861662796676519
27.0,-0.18487942910035163
28.0,-0.18411429730045684
29.0,-0.18381726800868306
30.0,-0.1796578820547412
31.0,-0.1777227612378827
32.0,-0.17514821191567861
33.0,-0.1738772707602731
34.0,-0.17344956989417254
35.0,-0.17466943770124022
36.0,-0.1764235985968178
37.0,-0.17890479003670606
38.0,-0.18038321626464865
39.0,-0.18197659693716142
40.0,-0.1836869844310343
41.0,-0.18556960802561892
42.0,-0.18537861237004694
43.0,-0.18636266831156748
44.0,-0.1865053304796345
45.0,-0.18363352509326378
46.0,-0.18218554572771822
47.0,-0.18123231917539673
48.0,-0.18036046064630992
49.0,-0.18008196762839263
50.0,-0.18025984867268832
51.0,-0.17899117872241171
52.0,-0.1781023726840537
53.0,-0.17759399287551714
54.0,-0.17730802878857505
55.0,-0.17721153569810127
56.0,-0.17618951364740817
57.0,-0.17541918013865687
58.0,-0.1748486471516256
59.0,-0.1738724579241291
60.0,-0.17331217417238406
61.0,-0.1730867622998858
62.0,-0.17263727597232317
63.0,-0.17223977512584746
64.0,-0.1715382715019056
65.0,-0.1708076202170869
66.0,-0.16994542356365355
67.0,-0.16835578978635699
68.0,-0.16657762609331472
69.0,-0.1644052090959413
70.0,-0.1619114159377046
71.0,-0.15838954762178162
72.0,-0.15474694266742514
73.0,-0.15097741730526343
74.0,-0.14720820634289464
75.0,-0.14367533843952748
76.0,-0.14045178914345177
77.0,-0.13738225264436368
78.0,-0.13460483439794013
79.0,-0.13521489761724234
80.0,-0.13572545302747924
81.0,-0.1361802551875795
82.0,-0.13658674286762781
83.0,-0.1320231780643016
84.0,-0.1275513163861428
85.0,-0.12299845169249696
86.0,-0.11844346197413243
87.0,-0.11713585771098274
88.0,-0.11588591027246437
89.0,-0.1147706146994033
90.0,-0.11369805327780362
91.0,-0.11268376434908836
92.0,-0.11233473817937774
93.0,-0.11195055254042845
94.0,-0.11154029483082172
95.0,-0.11448780929772197
96.0,-0.11748454653144146
97.0,-0.12053330169776849
98.0,-0.12354796491314685
99.0,-0.1265914822394851
100.0,-0.12966463719075666
101.0,-0.13262533834433557
102.0,-0.13561505304284605
103.0,-0.13862587838991927
104.0,-0.14166190398799802
105.0,-0.14455962885035248
106.0,-0.14748552143227742
107.0,-0.15043600726493964
108.0,-0.1534148122925368
109.0,-0.15642161418290107
110.0,-0.15729811505700989
111.0,-0.15816885153932675
112.0,-0.15904879775991032
113.0,-0.15987426298397436
114.0,-0.1607184885702463
115.0,-0.16143467287936497
116.0,-0.1621370441961027
117.0,-0.1628257389730961
118.0,-0.16350067466344811
119.0,-0.16405292096405447
120.0,-0.1646109143254176
121.0,-0.16517463794428103
122.0,-0.16630251303781127
123.0,-0.16743027405428382
124.0,-0.1685579979376207
125.0,-0.171673701145484
126.0,-0.1723612268910891
127.0,-0.17303143131977117
128.0,-0.1736837886540706
129.0,-0.174325100344774
130.0,-0.17582441356018091
131.0,-0.17733029056236868
132.0,-0.17881174075013404
133.0,-0.18029180707427175
134.0,-0.18177171861950006
135.0,-0.18365115347509903
136.0,-0.18553188728153386
137.0,-0.18737868040943328
138.0,-0.1892173665235498
139.0,-0.1910516993555324
140.0,-0.19138083290798313
141.0,-0.19171024984049234
142.0,-0.1920399178617515
143.0,-0.19427155766558937
144.0,-0.1964917652321682
145.0,-0.19870082776335704
146.0,-0.19992231808885713
147.0,-0.20112492866615317
148.0,-0.20230912798675327
149.0,-0.20337283744258008
150.0,-0.20443054520983064
151.0,-0.20544863522430998
152.0,-0.20644164485872607
153.0,-0.207425683683903
154.0,-0.20832013168881702
155.0,-0.20816975930734885
156.0,-0.20801743265048805
157.0,-0.20787051663073175
158.0,-0.207734258893602
159.0,-0.20749282159210064
160.0,-0.2072616546766616
161.0,-0.2070293616194972
162.0,-0.20676970441603074
163.0,-0.20650306081868816
164.0,-0.20655146119263174
165.0,-0.20660129918165163
166.0,-0.20665253660301622
167.0,-0.20662790542567014
168.0,-0.20659335407547777
169.0,-0.20655275583836358
170.0,-0.20650464443378122
171.0,-0.20646721645218916
172.0,-0.20644022828482023
173.0,-0.20639643126867782
174.0,-0.206323141448481
175.0,-0.20626810859848668
176.0,-0.2069119349996842
177.0,-0.20755512391231665
178.0,-0.2081976717171568
179.0,-0.2087944165271288
180.0,-0.2093863830043313
181.0,-0.2099736283744057
182.0,-0.21055215311012604
183.0,-0.2111242098408559
184.0,-0.21169375635466092
185.0,-0.21226813117703067
186.0,-0.21283378432262665
187.0,-0.2133335078168883
188.0,-0.21383540053575084
189.0,-0.2143333873359762
190.0,-0.21483201423949025
191.0,-0.2145483904181931
192.0,-0.2142640656814348
193.0,-0.2139764641960856
194.0,-0.21368970965196643
195.0,-0.21340147421491618
196.0,-0.21309319422250034
197.0,-0.21278657214457866
198.0,-0.21247839607089503
199.0,-0.21217216543093165
200.0,-0.2118006585842686
201.0,-0.21142949232959599
202.0,-0.21105876641299817
203.0,-0.21063064901903228
204.0,-0.21020355376505595
205.0,-0.20977757432299365
206.0,-0.20938650658605626
207.0,-0.20898002393100715
208.0,-0.2085717621824437
209.0,-0.20814687801907172
210.0,-0.2077259199133583
211.0,-0.207262557648548
212.0,-0.20680969553768894
213.0,-0.20633611760119216
214.0,-0.20586908759750386
215.0,-0.20727135300891336
216.0,-0.20864470841387867
217.0,-0.20998812609921882
218.0,-0.21128712727307672
219.0,-0.2125592176034533
220.0,-0.21369332218568193
221.0,-0.21480433410300678
222.0,-0.2158893855241727
223.0,-0.2169468700030747
224.0,-0.21800109653383418
225.0,-0.21902541098473918
226.0,-0.22002016965270285
227.0,-0.22092139216490309
228.0,-0.22179308603462686
229.0,-0.22263570277879868
230.0,-0.2233063381563077
231.0,-0.22396650825939002
232.0,-0.22460741583342766
233.0,-0.2252267001546285
234.0,-0.2258365265838111
235.0,-0.22648190288647624
236.0,-0.22711408641150277
237.0,-0.22773335001310455
238.0,-0.2282509357875324
239.0,-0.228751119696252
240.0,-0.22923702679238198
241.0,-0.2297084184413814
242.0,-0.2301766268509437
243.0,-0.23062472289603825
244.0,-0.2310534722885577
245.0,-0.23146198730097933
246.0,-0.2318006604757914
247.0,-0.23213068151915603
248.0,-0.23244930175137504
249.0,-0.23274589551421743
250.0,-0.23303779929839738
251.0,-0.2333298116581728
252.0,-0.23361980289301956
253.0,-0.23390779255634336
254.0,-0.23406937817788198
255.0,-0.2342317104580391
256.0,-0.23439474526805187
257.0,-0.2345251552674092
258.0,-0.234657417675983
259.0,-0.2347900164673223
260.0,-0.23492382177991197
261.0,-0.23497122091965525
262.0,-0.23502049314844498
263.0,-0.2350715724374078
264.0,-0.2352099370349261
265.0,-0.23534904278339125
266.0,-0.23548884996055602
267.0,-0.2355821146369823
268.0,-0.23567725815103283
269.0,-0.23577304783705624
270.0,-0.23586788094136094
271.0,-0.2359650954404822
272.0,-0.23600843230461496
273.0,-0.2360553077703761
274.0,-0.2360987742009174
275.0,-0.23614145103491074
276.0,-0.2361863289817255
277.0,-0.2362065571670547
278.0,-0.2362775736368327
279.0,-0.23633036346948852
280.0,-0.23638586756683871
281.0,-0.23643790796738867
282.0,-0.23649026237960485
283.0,-0.2365439665052125
284.0,-0.23658261941738654
285.0,-0.23662268314100277
286.0,-0.23666411292217807
287.0,-0.23702277971159647
288.0,-0.23737912407050626
289.0,-0.2377301828683278
290.0,-0.23807929120315585
291.0,-0.23842408007521385
292.0,-0.23876640121024978
293.0,-0.23910495475471988
294.0,-0.23944118898295597
295.0,-0.23977340474995934
296.0,-0.24002871253189617
297.0,-0.2402825318534626
298.0,-0.24053195470014976
299.0,-0.24077875514467492
300.0,-0.24102338726371744
301.0,-0.24125646921243052
302.0,-0.2414889935183386
303.0,-0.24172096123191808
304.0,-0.24195334931856927
305.0,-0.24218326885954905
306.0,-0.24241060377092866
307.0,-0.24263549237933404
308.0,-0.24284185983045478
309.0,-0.24304566729497115
310.0,-0.2432469201450381
311.0,-0.24353656490770997
312.0,-0.24382271729047872
313.0,-0.2441084401674018
314.0,-0.24439237551151727
315.0,-0.24467315043381796
316.0,-0.24493631257047752
317.0,-0.24519675150961992
318.0,-0.2454550395718192
319.0,-0.245710755242284
320.0,-0.24595116163035424
321.0,-0.2461903340761294
322.0,-0.24642827454771976
323.0,-0.24660487128403216
324.0,-0.246780180186507
325.0,-0.24695420648426866
326.0,-0.2471107918929606
327.0,-0.24726522367645792
328.0,-0.24741751269389967
329.0,-0.24757306740470883
330.0,-0.24772739493076876
331.0,-0.24788004784602855
332.0,-0.24803094533838319
333.0,-0.24815603066033062
334.0,-0.24827926035371137
335.0,-0.2483999577165604
336.0,-0.24851924975321477
337.0,-0.24863632791397944
338.0,-0.2488942844960671
339.0,-0.2491496202212204
340.0,-0.24940395423673825
341.0,-0.24965796882960742
342.0,-0.249909046302107
343.0,-0.25018988844559903
344.0,-0.2504692035590312
345.0,-0.25074699186164195
346.0,-0.25098754925933553
347.0,-0.25122640261577717
348.0,-0.2514634742790883
349.0,-0.25169874528119346
350.0,-0.2517080244414392
351.0,-0.2517158079701196
352.0,-0.2517221106675606
353.0,-0.25171885908759867
354.0,-0.25171487152414496
355.0,-0.2517078620062499
356.0,-0.25169828377637826
357.0,-0.25168793095287306
358.0,-0.25167098043537545
359.0,-0.25166654013670875
360.0,-0.2518881178381656
361.0,-0.25210838178850287
362.0,-0.25232652516045745
363.0,-0.25254309294694727
364.0,-0.25275773727584483
365.0,-0.25300854338955153
366.0,-0.25325849831811825
367.0,-0.2535065768145748
368.0,-0.2537519880450392
369.0,-0.25375033895321203
370.0,-0.2537469956592345
371.0,-0.25374114444353585
372.0,-0.2537358871273829
373.0,-0.25373004152257034
374.0,-0.25368834667861795
375.0,-0.2536457167268644
376.0,-0.25360216376957945
377.0,-0.25361641643811256
378.0,-0.25362920714278037
379.0,-0.25364044336255587
380.0,-0.25364937079635796
381.0,-0.25365711884555664
382.0,-0.25363797733847854
383.0,-0.2536178506259957
384.0,-0.2535964413297726
385.0,-0.2535741619293651
386.0,-0.25354622220549655
387.0,-0.2535179987526968
388.0,-0.2534894941374896
389.0,-0.25343714838222037
390.0,-0.25338364401239927
391.0,-0.2533289910556244
392.0,-0.253332622902801
393.0,-0.25333515395870465
394.0,-0.2533365235126938
395.0,-0.253337457978712
396.0,-0.2533370917051941
397.0,-0.25331932496672144
398.0,-0.2533006666637019
399.0,-0.2532811251286953
400.0,-0.25324757767690975
401.0,-0.2532130225090311
402.0,-0.2531774689460206
403.0,-0.2531529096401722
404.0,-0.25312753679510874
405.0,-0.25310110069219616
406.0,-0.2530739940466455
407.0,-0.2531185583995499
408.0,-0.25316201241695674
409.0,-0.2532044826568154
410.0,-0.2532455260493559
411.0,-0.2533424555292857
412.0,-0.2534386708869933
413.0,-0.25353417516018695
414.0,-0.2535587418490214
415.0,-0.2535825165053723
416.0,-0.2536029452690476
417.0,-0.25362454892233666
418.0,-0.25364394154819003
419.0,-0.2536795589979802
420.0,-0.25371395641421807
421.0,-0.25374687038993193
422.0,-0.25377891238636263
423.0,-0.253795505990521
424.0,-0.25381104029367835
425.0,-0.2538266143891924
426.0,-0.2538395929418455
427.0,-0.25385241086644583
428.0,-0.2501288753206304
429.0,-0.24633679703817843
430.0,-0.2424764478998566
431.0,-0.23852811416945685
432.0,-0.23451328247487707
433.0,-0.23043255791343492
434.0,-0.2269994420556978
435.0,-0.2235212090493634
436.0,-0.21999843863097962
437.0,-0.21575736867287126
438.0,-0.21146037955106417
439.0,-0.20710145752753065
440.0,-0.20268690719742857
441.0,-0.19822034196682378
442.0,-0.1937134508211264
443.0,-0.18916144979444516
444.0,-0.18455591848852076
445.0,-0.17990061960461437
446.0,-0.17520746967158707
447.0,-0.17038481514087273
448.0,-0.16552181055607604
449.0,-0.1606207152736989
450.0,-0.15601937403305777
451.0,-0.15138882491186773
452.0,-0.14672801385650627
453.0,-0.14204521331790984
454.0,-0.13710033733172503
455.0,-0.1321301896118995
456.0,-0.12715018604274503
457.0,-0.12214809498260443
458.0,-0.11714138801449676
459.0,-0.1121299552635836
460.0,-0.10710631670078587
461.0,-0.10207773192873551
462.0,-0.09704814768614249
463.0,-0.09196142475333625
464.0,-0.08688301253714434
465.0,-0.08180968253810043
466.0,-0.07674371067253903
467.0,-0.07169046950239333
468.0,-0.06647895899341187
469.0,-0.06143603420717048
470.0,-0.056414222143863976
471.0,-0.051414895901946665
472.0,-0.04733577614496563
473.0,-0.04327497795316841
474.0,-0.03923604606384354
475.0,-0.035218187833880886
476.0,-0.031220528202392808
477.0,-0.028057849475373417
478.0,-0.024911317642797588
479.0,-0.021781006336239965
480.0,-0.018666927697492664
481.0,-0.014133602816526196
482.0,-0.00963557915032368
483.0,-0.00517410239023416
484.0,-0.0007496960813103619
485.0,0.00285765906197508
486.0,0.006437156138930177
487.0,0.009988527979343097
488.0,0.010685458211894682
489.0,0.011379949670130006
490.0,0.012071990944844098
491.0,0.011152286551631124
492.0,0.01023295312887337
493.0,0.009313967908907697
494.0,0.00839530933438951
495.0,0.007477151256219789
496.0,0.0068589808417612525
497.0,0.00624147253490627
498.0,0.005624664704653205
499.0,0.005008558034156694
500.0,0.005044373182162671
501.0,0.005080079662851901
502.0,0.0051156981873459505
503.0,0.005151145258753173
504.0,0.005186469411019633
505.0,0.006000541048687658
506.0,0.0068114848759088815
507.0,0.007619284429758723
508.0,0.008423943176605487
509.0,0.007588847372307085
510.0,0.006754780429966626
511.0,0.005921764647440726
512.0,0.005089829599626007
513.0,0.004259003417579463
514.0,0.003472383141564182
515.0,0.002686901782494678
516.0,0.0019025823158174823
517.0,0.0009719651904778297
518.0,4.26795564809048e-05
519.0,-0.0008852421838525534
520.0,-0.001811764904114312
521.0,-0.0026775465231119286
522.0,-0.0035419296422061672
523.0,-0.004404886405323995
524.0,-0.005282091753200514
525.0,-0.006157537055811936
526.0,-0.007031183248213878
527.0,-0.007903008054745597
528.0,-0.008773023133348714
529.0,-0.009545856433222862
530.0,-0.010316961582539357
531.0,-0.011086287074280065
532.0,-0.011853845537306442
533.0,-0.012746568744673182
534.0,-0.013637247314780991
535.0,-0.014525859036780402
536.0,-0.015378298526798291
537.0,-0.016228661207511073
538.0,-0.01707692589532609
539.0,-0.017655859433799326
540.0,-0.018233577812942135
541.0,-0.018810075383833703
542.0,-0.019162081862255986
543.0,-0.019513705012284072
544.0,-0.0198649657538145
545.0,-0.020215866356117017
546.0,-0.020566390350229346
547.0,-0.02101957714388381
548.0,-0.02147205191374083
549.0,-0.021923802032037552
550.0,-0.022374828823646976
551.0,-0.022930033760936972
552.0,-0.02348412820653535
553.0,-0.02403713897870603
554.0,-0.024589011769220643
555.0,-0.02511121593502192
556.0,-0.02563239589666193
557.0,-0.026152564318256667
558.0,-0.026671705697902226
559.0,-0.027246794531602093
560.0,-0.027820703674295937
561.0,-0.028393324008908278
562.0,-0.028964665403675274
563.0,-0.029534866236006138
564.0,-0.02983733711439476
565.0,-0.03013946795871663
566.0,-0.030441257749390552
567.0,-0.03106101655043935
568.0,-0.031679265371759885
569.0,-0.03229582007106005
570.0,-0.032910525572034534
571.0,-0.03352379003980835
572.0,-0.03369781776167026
573.0,-0.03387163703722754
574.0,-0.03404524695983241
575.0,-0.03422485631698751
576.0,-0.03440422035707544
577.0,-0.03458333084609939
578.0,-0.03476218825757211
579.0,-0.03488742965050686
580.0,-0.03501240708158366
581.0,-0.035137310536408166
582.0,-0.035261785443749354
583.0,-0.03538611753695632
584.0,-0.035525747382911976
585.0,-0.035665117480485155
586.0,-0.03580422637383722
587.0,-0.03585623076755813
588.0,-0.035906022276157315
589.0,-0.035955668508428386
590.0,-0.03600509019164891
591.0,-0.036054280936593415
592.0,-0.036103357701416906
593.0,-0.03614568405892125
594.0,-0.0361878616518634
595.0,-0.03622989046388635
596.0,-0.03622481777283723
597.0,-0.03621960776815635
598.0,-0.03621426081063195
599.0,-0.03557759724398616
600.0,-0.034940964360993955
601.0,-0.03430436940005987
602.0,-0.033677278092608655
603.0,-0.03305026072856881
604.0,-0.032423323483270254
605.0,-0.031816695618403834
606.0,-0.031210112385646888
607.0,-0.030603662737958892
608.0,-0.02999719310401788
609.0,-0.02939086144413553
610.0,-0.028807750294740468
611.0,-0.02822481123614645
612.0,-0.027641840966783113
613.0,-0.02705900472674464
614.0,-0.026476311991425115
615.0,-0.02591376424752233
616.0,-0.0253513704136968
617.0,-0.024789034391318816
618.0,-0.024226857369637658
619.0,-0.023649215992534736
620.0,-0.023103810741306158
621.0,-0.022558590647857125
622.0,-0.02201345242628133
623.0,-0.02146844359722832
624.0,-0.020885500906697108
625.0,-0.020302799701701794
626.0,-0.019720341787198024
627.0,-0.019164117494245354
628.0,-0.01860811226047743
629.0,-0.0180523295723914
630.0,-0.017510728529422284
631.0,-0.016969339217484666
632.0,-0.016428244401502853
633.0,-0.015887378302075563
634.0,-0.015346743231058913
635.0,-0.014795011803635606
636.0,-0.01424357641795343
637.0,-0.013692438330750588
638.0,-0.0131450808597957
639.0,-0.012597989812651112
